,LFUAvgReaccess,LRUAvgReaccess,No_of_unique_items,Avg_item_freq,Frequency_skewness,Max_consecutive_duplicates,Entropy_of_sequence,Ratio_of_unique_items,Cache_size,Array_length,Best_algo_encoded,Median_reaccess_time,Percent_items_reused,Std_dev_item_freq,Run_length_entropy,Longest_repeat_run_length,Gini_index_of_freq,Item_position_variance,Reused_distance_variance,Recency_frequency_ratio
0,1006.3486468426328,1316.2977363055124,34,294.11764705882354,1.9096300515830478,1,4.803856189774726,0.0034,25,1000,0,50.0,1.0,212.7428390591191,13.287712379549449,1,0.26941176470588235,8333141.955882353,409.85185822847245,1.0
1,976.8426328098898,1331.3466390184897,34,294.11764705882354,1.9096300515830478,1,4.803856189774726,0.0034,25,1000,0,50.0,1.0,212.7428390591191,13.287712379549449,1,0.26941176470588235,8333143.830882353,414.050258466585,1.0
2,995.1348145673237,1348.7326766891308,34,294.11764705882354,1.9096300515830478,1,4.803856189774726,0.0034,25,1000,0,50.0,1.0,212.7428390591191,13.287712379549449,1,0.26941176470588235,8333142.56617647,411.1712527490115,1.0
3,983.3339458737053,1314.215655780197,34,294.11764705882354,1.9096300515830478,1,4.803856189774726,0.0034,25,1000,0,50.0,1.0,212.7428390591191,13.287712379549449,1,0.26941176470588235,8333138.602941177,403.6170078407062,1.0
4,977.4889742733044,1135.8656866020715,34,294.11764705882354,1.9096300515830478,1,4.803856189774726,0.0034,25,1000,2,50.0,1.0,212.7428390591191,13.287712379549449,1,0.26941176470588235,8333134.19117647,399.6313685676393,1.0
5,950.4552214678306,1281.5243026557541,33,303.030303030303,1.7826068641249726,1,4.763856189774726,0.0033,25,1000,0,50.0,1.0,215.30084446462556,13.287712379549449,1,0.27999999999999997,8333155.446969697,413.2502883877184,1.0
6,1000.8949187694435,1287.7913930176287,35,285.7142857142857,2.0412414523193148,1,4.843856189774726,0.0035,25,1000,2,50.0,1.0,209.95626366712952,13.287712379549449,1,0.2571428571428571,8333129.464285715,405.743068627804,1.0
7,985.9811226194454,1265.092621392777,34,294.11764705882354,1.9096300515830478,1,4.803856189774726,0.0034,25,1000,0,50.0,1.0,212.7428390591191,13.287712379549449,1,0.26941176470588235,8333137.602941177,402.1793021821051,1.0
8,1002.1339440027652,1255.7815416522642,35,285.7142857142857,2.0412414523193148,1,4.843856189774726,0.0035,25,1000,2,50.0,1.0,209.95626366712952,13.287712379549449,1,0.2571428571428571,8333129.464285715,405.743068627804,1.0
9,999.423655195456,1364.9842750993607,34,294.11764705882354,1.9096300515830478,1,4.803856189774726,0.0034,25,1000,0,50.0,1.0,212.7428390591191,13.287712379549449,1,0.26941176470588235,8333141.360294118,408.61253593343196,1.0
